_id,BERDO ID,Tax Parcel ID,Property Owner Name,Building Address,Geospatial Address,Geospatial Address,Building Address City,Building Address Zip  Code,Parcel Address,Parcel Address City,Parcel Address Zip Code,Reported Gross Floor Area (Sq Ft),Reported Enclosed Parking Area (Sq Ft),Largest Property Type,All Property Types and GFAs,Site EUI (Energy Use Intensity kBtu/ft2),Energy Star Score,Total Site Energy Usage (kBtu),Natural Gas Usage (kBtu),Natural Gas Emissions (kgCO2e),Electricity Usage (kWh),Electricity Emissions (kgCO2e),Renewable System Electricity Usage Onsite (kBtu),District Hot Water Usage (kBtu),District Hot Water Emissions (kgCO2e),District Chilled Water Usage (kBtu),District Chilled Water Emissions (kgCO2e),District Steam Usage (kBtu),District Steam Emissions (kgCO2e),Fuel Oil 1 Usage (kBtu),Fuel Oil 1 Emissions (kgCO2e),Fuel Oil 2 Usage (kBtu),Fuel Oil 2 Emissions (kgCO2e),Fuel Oil 4 Usage (kBtu),Fuel Oil 4 Emissions (kgCO2e),Fuel Oil 5 and 6 Usage (kBtu),Fuel Oil 5 and 6 Emissions (kgCO2e),Propane Usage (kBtu),Propane Emissions (kgCO2e),Diesel Usage (kBtu),Diesel Emissions (kgCO2e),Kerosene Usage (kBtu),Kerosene Emissions (kgCO2e),Water Usage Intensity (Gallons/ft2),Compliance Status,Estimated Total GHG Emissions (kgCO2e),First Emissions Compliance Year (Projected),Community Choice Electricity Participation,Renewable Energy Purchased through a Power Purchase Agreement (,Renewable Energy Certificate (REC) Purchase,Backup Generator,Battery Storage,Electric Vehicle (EV) Charging,Corresponding Campus ID,Notes
3857,105782,401842000,simmons university,6 avenue louis pasteur,6 avenue louis pasteur,,boston,2115,300 fenway st,boston,2115,103200,,College/University,College/University (103200.0),231.2,,23864751.9,0,,6994359,1434822.805,,,,,,,,,,,,,,,,,,,,,,,in compliance,1434822.805,2025,No,No,No,No,No,No,C10064,
3858,105783,401842000,simmons university,300r fenway,300r fenway,,boston,2115,300 fenway st,boston,2115,69500,,College/University,College/University (69500.0),Not Available,,Not Available,,,,0,,,,,,,,,,,,,,,,,,,,,,67.36,in compliance,,2025,No,No,No,No,No,No,C10064,
2922,104374,401844000,mcphs university,179 longwood ave,179 longwood ave,,boston,2115,179 longwood av,boston,2115,457911,,College/University,College/University (457911.0),104.1,,47681426.8,44899842.5,2384630.635,815235.7,167237.451,,,,,,,,,,,,,,,,,,,,,,22.5,in compliance,2551868.086,2025,No,No,No,No,No,No,,
1901,102826,401847000,,400 fenway,400 fenway,,boston,2115,264  274 brookline av,boston,2115,125477,,College/University,College/University (125477.0),Not Available,,Not Available,,,,0,,,,,,,,,,,,,,,,,,,,,,,in compliance,,2025,No,No,No,No,No,No,C10070,
1902,102827,401847000,,400r fenway,400r fenway,,boston,2115,264  274 brookline av,boston,2115,101636,0,College/University,"College/University (101636.0),Parking (33600.0)",147.5,,14988036.8,9578786.4,508729.346,1585361,325220.956,,,,,,,,,,,,,,,,,,,,,,16.66,in compliance,833950.302,2025,No,No,No,No,No,No,,
1905,102830,401847000,,400a fenway,400a fenway,,boston,2115,264  274 brookline av,boston,2115,68196,,College/University,College/University (68196.0),Not Available,,Not Available,,,,0,,,,,,,,,,,,,,,,,,,,,,,in compliance,,2025,No,No,No,No,No,No,C10070,
5616,C10070,401847000,,400 the fenway,400 the fenway,,boston,2115,,,,193673,56712,College/University,"College/University (193673.0),Parking (56712.0)",136.3,,26398724.6,14958260.9,794433.236,3353008,687836.061,,,,,,,,,,,,,,,,,,,,,,16.97,,1482269.297,,,,,,,,,
4634,106819,401849012,president  &  fellows of harvard college,77 avenue louis pasteur,77 avenue louis pasteur,,boston,2115,77 avenue louis pasteur,boston,2115,562781,199014,College/University,"College/University (562781.0),Parking (199014.0)",312.4,,175805561.4,605700,32168.727,21840324,5285358.408,399900,,,,,100601187.5,6408295.644,,,,,,,,,,,79488,5898.804,,,53.58,in compliance,11731721.58,2025,No,No,No,No,No,No,,
2311,103513,401850000,harvard college,107 avenue louis pasteur,107 avenue louis pasteur,,boston,2115,107 avenue louis pasteur,boston,2115,165820,,College/University,College/University (165820.0),81.3,,13482892,,,1105728,267586.176,,,,2259443.7,141215.231,7440079.8,473933.083,,,,,,,,,,,10626,788.555,,,19.87,in compliance,883523.045,2025,No,No,No,No,No,No,,
2368,103580,401872000,harvard college pres,180-184 longwood ave,180-184 longwood ave,,boston,2115,184  180 longwood av,boston,2115,61540,,College/University,College/University (61540.0),119.8,,7371505.3,,,689100,166762.2,,,,1486085.2,92880.325,3529850,224851.445,,,,,,,,,,,4360.8,323.615,,,2.9,in compliance,484817.585,2025,No,No,No,No,No,No,,
2312,103514,401882000,harvard college,665 huntington ave,665 huntington ave,,boston,2115,689  695 huntington av,boston,2115,534676,,College/University,College/University (534676.0),308.5,,164928102.5,703535,37364.744,14432530,3492672.26,,,,47972859.6,2998303.725,67007930.1,4268405.147,,,,,,,,,,,,,,,20.21,in compliance,10796745.88,2025,No,No,No,No,No,No,,
2313,103516,401882000,harvard college,200 longwood ave,200 longwood ave,,boston,2115,689  695 huntington av,boston,2115,199464,86596,College/University,"College/University (199464.0),Parking (86596.0)",411.3,,82040708.7,631300,33528.343,8147458,1971684.836,,,,9557355.2,597334.7,44031371.4,2804798.358,,,,,,,,,,,21555.6,1599.641,,,70.03,in compliance,5408945.878,2025,No,No,No,No,No,No,,
2314,103517,401882000,harvard college,260 longwood ave,260 longwood ave,,boston,2115,689  695 huntington av,boston,2115,180027,,College/University,College/University (180027.0),202,,36359958.7,800,42.488,1865043,451340.406,,,,14251664.9,890729.056,15739550,1002609.335,,,,,,,,,,,4416,327.711,,,18.84,in compliance,2345048.996,2025,No,No,No,No,No,No,,
