_id,BERDO ID,Tax Parcel ID,Property Owner Name,Building Address,Geospatial Address,Geospatial Address.1,Building Address City,Building Address Zip  Code,Parcel Address,Parcel Address City,Parcel Address Zip Code,Reported Gross Floor Area (Sq Ft),Reported Enclosed Parking Area (Sq Ft),Largest Property Type,All Property Types and GFAs,Site EUI (Energy Use Intensity kBtu/ft2),Energy Star Score,Total Site Energy Usage (kBtu),Natural Gas Usage (kBtu),Natural Gas Emissions (kgCO2e),Electricity Usage (kWh),Electricity Emissions (kgCO2e),Renewable System Electricity Usage Onsite (kBtu),District Hot Water Usage (kBtu),District Hot Water Emissions (kgCO2e),District Chilled Water Usage (kBtu),District Chilled Water Emissions (kgCO2e),District Steam Usage (kBtu),District Steam Emissions (kgCO2e),Fuel Oil 1 Usage (kBtu),Fuel Oil 1 Emissions (kgCO2e),Fuel Oil 2 Usage (kBtu),Fuel Oil 2 Emissions (kgCO2e),Fuel Oil 4 Usage (kBtu),Fuel Oil 4 Emissions (kgCO2e),Fuel Oil 5 and 6 Usage (kBtu),Fuel Oil 5 and 6 Emissions (kgCO2e),Propane Usage (kBtu),Propane Emissions (kgCO2e),Diesel Usage (kBtu),Diesel Emissions (kgCO2e),Kerosene Usage (kBtu),Kerosene Emissions (kgCO2e),Water Usage Intensity (Gallons/ft2),Compliance Status,Estimated Total GHG Emissions (kgCO2e),First Emissions Compliance Year (Projected),Community Choice Electricity Participation,Renewable Energy Purchased through a Power Purchase Agreement (,Renewable Energy Certificate (REC) Purchase,Backup Generator,Battery Storage,Electric Vehicle (EV) Charging,Corresponding Campus ID,Notes,Percentage Electrification,Estimated Carbon Emissions Intensity (kg CO2e/sf),Log GSF,Log EUI,Log Total Site Energy,Log GHG Emissions,Log CEI,Log % Electrification
34,100046,1000517000.0,1480 tremont realty trust,1486 tremont st,1486 tremont st,1486 tremont st,,2120.0,1486 tremont st,boston,2120,75370.0,0.0,Multifamily Housing,"Multifamily Housing (75370.0),Parking (23121.0)",51.0,92.0,3845621.792,2170957.6,115299.558,490816.0,100685.994,,,,,,,,,,,,,,,,,,,,,,30.2,in compliance,215985.552,2025.0,No,No,No,No,No,No,,,43.549207513956176,2.8656700543983016,11.230164596837515,3.9318256327243257,15.162445862281842,12.282966795540252,1.052802198702736,3.773891505979237
2532,103896,1001052000.0,,170 parker hill ave,170 parker hill ave,170 parker hill ave,,2120.0,170 parker hill av,boston,2120,40319.0,,Multifamily Housing,Multifamily Housing (40319.0),51.8,75.0,2090408.64,1496481.8,79478.148,174070.0,35708.72,,,,,,,,,,,,,,,,,,,,,,43.2,in compliance,115186.868,2025.0,Yes,No,No,No,Yes,Yes,,,28.41324605795736,2.8568880180560035,10.604578100850384,3.9473901492654373,14.55287012636025,11.654311027690671,1.049732926840286,3.3468554469230525
2533,103897,1001052000.0,,30 iroquois st,30 iroquois st,30 iroquois st,,2120.0,170 parker hill av,boston,2120,80648.0,,Multifamily Housing,Multifamily Housing (80648.0),48.3,95.0,3892285.988,2728200.3,144894.718,341174.0,69988.434,,,,,,,,,,,,,,,,,,,,,,14.81,in compliance,214883.152,2025.0,No,No,No,No,No,No,,,29.908821389000153,2.6644572959031843,11.297849284733777,3.877431560658527,15.174507200575077,12.277849680301752,0.9800003955679745,3.3981534666163737
2548,103915,1001248000.0,jamaica view llc mass llc,70 parker hill ave,70 parker hill ave,70 parker hill ave,,2120.0,25 sunset st,boston,2120,29100.0,0.0,Multifamily Housing,"Multifamily Housing (29100.0),Parking (13819.0)",67.4,67.0,1961191.524,946200.0,50252.682,297477.0,61024.432,,,,,,,,,,,,,,,,,,,,,,36.57,in compliance,111277.114,2025.0,I`m not sure,No,No,No,I`m not sure,I`m not sure,,,51.75609486011628,3.8239558075601376,10.278493453159584,4.210645017918261,14.489062766906107,11.619778891681579,1.3412854385219943,3.9465422002852497
2446,103758,1001250000.0,hillside & parkerhill llc,40 parker hill ave,40 parker hill ave,40 parker hill ave,,2120.0,40  44 parker hill av,boston,2120,25920.0,,Multifamily Housing,Multifamily Housing (25920.0),29.2,99.0,758038.948,263200.0,13978.552,145029.0,29751.249,,,,,,,,,,,,,,,,,,,,,,30.62,in compliance,43729.801,2030.0,I'm not sure,No,No,No,I'm not sure,I'm not sure,,,65.28169873799149,1.6871065200617283,10.16277015046621,3.374168709274236,13.53849004589022,10.685785093744885,0.5230149432786745,4.178711732651705
363,100496,1001490000.0,back of the hill community development assoc inc,100 s huntington ave,100 s huntington ave,100 s huntington ave,,2130.0,100 s huntington av,boston,2130,119531.0,,Multifamily Housing,Multifamily Housing (119531.0),49.8,93.0,5949552.36,4163523.9,221124.754,523455.0,107381.559,,,,,,,,,,,,,,,,,,,,,,32.74,in compliance,328506.313,2025.0,I'm not sure,No,No,No,I'm not sure,I'm not sure,,,30.02086325449197,2.748293856823753,11.691331030937592,3.9080149840306073,15.598826541078177,12.702311334378157,1.0109803034405662,3.40189258177095
3908,105836,1001492000.0,,46 s huntington ave,46 s huntington ave,46 s huntington ave,,2116.0,82  46 s huntington av,boston,2116,80124.0,,Multifamily Housing,Multifamily Housing (80124.0),57.3,89.0,4591434.224,3870301.2,205551.697,211352.0,43356.749,,,,,,,,,,,,,,,,,,,,,,43.26,in compliance,248908.446,2025.0,No,No,No,No,No,No,,,15.706741981195806,3.106540437322151,11.29133071364587,4.048300623720694,15.339703000331447,12.424840421086511,1.1335097074406415,2.75409004573137
968,101306,1001520010.0,both/ndc community,209 heath st,209 heath st,209 heath st,,2130.0,191  225 heath st,boston,2130,30176.0,,Multifamily Housing,Multifamily Housing (30176.0),56.3,99.0,1698115.448,1339330.0,71131.816,105154.0,21571.292,,,,,,,,,,,,,,,,,,,,,,51.52,in compliance,92703.108,2030.0,No,No,No,No,No,No,,,21.129377364924604,3.07208072640509,10.314802185433184,4.030694535145645,14.345029634119324,11.437157278500003,1.1223550930668187,3.050664364318494
4491,106619,1001591000.0,walter huntington llc,33-39 s huntington ave,33,39 s huntington ave,,2116.0,33  37 s huntington av,boston,2116,52580.0,7000.0,Multifamily Housing,"Restaurant (7080.0),Multifamily Housing (45500.0),Parking (7000.0)",30.8,100.0,1618176.464,718527.6,38161.001,263672.0,54089.674,,,,,,,,,,,,,,,,,,,,,,34.61,in compliance,92250.675,2025.0,No,No,No,No,No,No,,,55.59890622658321,1.7544822175732218,10.870091098283872,3.427514689979529,14.296810433694423,11.432264878949175,0.5621737806653025,4.018163528879281
2549,103916,1001609000.0,jamaicaway place condo tr,40 jamaicaway,40 jamaicaway,40 jamaicaway,,2130.0,60  40 jamaicaway st,boston,2130,31942.0,,Multifamily Housing,Multifamily Housing (31942.0),82.2,55.0,2625260.952,2267099.9,120405.676,104971.0,21533.751,,,,,,,,,,,,,,,,,,,,,,36.11,in compliance,141939.427,2025.0,No,No,No,No,No,No,,,13.643474085009741,4.4436612297288836,10.371677037216255,4.409155302062135,14.7806908593527,11.863155675153818,1.4914786379375635,2.613261318299704
4100,106078,1001612000.0,ten jamaicaway condo assn,10 jamaicaway,10 jamaicaway,10 jamaicaway,,2130.0,10 jamaicaway st,boston,2130,29568.0,,Multifamily Housing,Multifamily Housing (29568.0),72.6,88.0,2147703.044,1842799.9,97871.103,89362.0,18331.721,,,,,,,,,,,,,,,,,,,,,,31.96,in compliance,116202.824,2030.0,No,No,No,No,No,No,,,14.197332780797604,3.9300197510822508,10.294447974441411,4.28496492183075,14.579909477381548,11.663092426030627,1.3686444515892155,2.653054114626315
9,100013,1001625010.0,101 huntington owner (de)  llc,101 s huntington ave,101 s huntington ave,101 s huntington ave,,2199.0,105 s huntington av,boston,2199,204050.0,68250.0,Multifamily Housing,"Multifamily Housing (202450.0),Electric Vehicle Charging Station (0.0),Swimming Pool (0.0),Parking (68250.0),Other (1600.0)",33.2,100.0,6766543.148,4094421.7,217454.736,783154.0,160656.212,,,,,,,,,,,,,,,,,,,,,,16.64,pending revisions,378110.948,2025.0,No,No,No,No,No,No,,,39.491936468177826,1.8530308649840723,12.226120340833951,3.502549875922443,15.727500901187152,12.842942944762658,0.6168226039287056,3.67609651102153
430,100615,1001631000.0,bell olmstead park llc,161 s huntington ave,161 s huntington ave,161 s huntington ave,,2115.0,161 s huntington av,boston,2115,193000.0,44100.0,Multifamily Housing,"Multifamily Housing (193000.0),Swimming Pool (0.0),Parking (46800.0)",50.6,76.0,9756583.7,5551976.1,294865.451,1232300.0,252794.022,,,,,,,,,,,,,,,,,,,,,,33.4,in compliance,547659.473,2025.0,No,No,No,No,No,No,,,43.09697507130493,2.8376138497409324,12.170445467887022,3.92395157629342,16.093452866376513,13.213408973146343,1.042963505259321,3.76345281068625
