_id,Property Name,Reported,Tax Parcel,Property Type,Address,Year Built
1433,855 Commonwealth Avenue,Reported,2100397000,College/University,855 Commonwealth Avenue,1919
181,1140 Boylston Street,Reported,401755000,College/University,1140 Boylston Street,1920
1503,180 Longwood,Reported,401872000,College/University,180 Longwood,1920
687,"Cahners,Cushing,kerr,Melvin Campus",Voluntary,,College/University,90 The Fenway,1923
695,337 Huntington Avenue,Reported,401679000,College/University,337 Huntington Avenue,1923
1410,110-112 Cummington Street,Submitted with possible data errors,2100277000,College/University,110-112 Cummington Street,1923
2,216 Tremont,Reported,304909000,College/University,216 Tremont Street,1926
686,"Rubenstein,Burstein Campus",Reported,402033000,College/University,454-458-460 Huntington Avenue,1926
1462,871 Commonwealth Avenue,Reported,2100398000,College/University,871 Commonwealth Avenue,1926
1509,Vanderbilt Hall,Reported,401850000,College/University,107 Avenue Louis Pasteur,1927
4,Ansin Building,Reported,304890100,College/University,180 Tremont St,1931
1492,Dillon Field House,Reported,2200533000,College/University,47 North Harvard Street,1931
1357,Evans Hall,Reported,402022000,College/University,305 Brookline Avenue,1938
1460,675-725 Commonwealth Avenue,Reported,25887291000,College/University,675-725 Commonwealth Avenue,1938
955,B003-BRPH (M&V),Reported,,College/University,136 Harrison Ave,1940
1465,745-755 Commonwealth Avenue,Reported,25887291000,College/University,745-755 Commonwealth Avenue,1947
186,921 Boylston St.,Reported,503103000,College/University,921 Boylston Street,1950
959,B002-PosnerHall,Reported,305081000,College/University,200 Harrison Ave,1951
1362,Arnold Hall,Reported,402013000,College/University,78 Pilgrim Road,1951
1815,Showa Boston Institute of Language and Culture,Reported,1902456000,College/University,420 Pond Street,1951
1352,Morse Hall,Reported,402017000,College/University,275 Brookline Avenue,1953
1360,Dix Hall,Reported,402016000,College/University,30 Pilgrim Road,1953
1525,Aldrich Hall,Reported,2200530000,College/University,35 Harvard Way,1953
699,Northeastern University Big Campus,Reported,401620000,College/University,360 Huntington Avenue,1956
1356,Simmons Hall,Reported,402017000,College/University,255 Brookline Avenue,1956
1361,Bartol Hall,Reported,402012000,College/University,84 Pilgrim Road,1956
1712,33 Gainsborough Street,Reported,402282000,College/University,33 Gainsborough Street,1956
1471,631-639 Commonwealth Avenue,Reported,504089000,College/University,631-639 Commonwealth Avenue,1957
1523,"Buildings 1, 2, 3 & 4 (Rollup)",Reported,401880000,College/University,650-665-677 Huntington Ave,1960
1350,Mesick Hall,Reported,402020000,College/University,291 Brookline Avenue,1961
1363,Lefavour Hall,Submitted with possible data errors,401842000,College/University,2 Avenue Louis Pasteur,1961
1506,Countway,Reported,401882000,College/University,10 Shattuck St,1963
1517,Batten Hall,Reported,2200500000,College/University,125 Western Avenue,1963
1358,Smith Hall,Reported,402015000,College/University,54 Pilgrim Road,1964
1444,765 Commonwealth Avenue,Reported,25887291000,College/University,765 Commonwealth Avenue,1964
1348,Health Center,Reported,402012000,College/University,94 Pilgrim Road,1965
1475,Activities Building (180 Riverway),Reported,402000000,College/University,180 Riverway,1967
1419,70-72 East Concord Street L Building,Reported,801403000,College/University,72 East Concord Street,1968
1366,Park Science Center,Submitted with possible data errors,401842000,College/University,300 The Fenway,1972
958,B001-Dental,Reported,305380000,College/University,1 Kneeland Street,1973
1520,Blodgett Pool,Reported,2200533000,College/University,55 North Harvard Street,1977
1453,605-615 Commonwealth Avenue (2 Silber Way),Reported,504081000,College/University,605-615 Commonwealth Avenue (2 Silber Way),1981
956,B011-Sackler,Reported,305371000,College/University,145 Harrison Ave,1986
1349,Holmes Sports Center,Reported,402012000,College/University,331 Brookline Avenue,1989
1732,Ridgeway Building,Reported,300087000,College/University,148 Cambridge Street,1989
1724,1 Palace Rd-collegeUniversity,Reported,401836000,College/University,1 Palace Rd,1995
1725,662 Huntington Ave-collegeUniversity,Reported,1000150000,College/University,662 Huntingtn Ave,1995
1726,179 Longwood Ave-collegeUniversity,Reported,401844000,College/University,179 Longwood Ave,1995
1436,577-599 Commonwealth Avenue (595 Comm Ave),Reported,503991000,College/University,577-599 Commonwealth Avenue (595 Comm Ave),1996
697,Davenport Commons A,Reported,901434010,College/University,700 Columbus Avenue,2001
700,Davenport Commons B,Reported,901335010,College/University,696 Columbus Avenue,2001
957,B008_Jaharis,Reported,305104000,College/University,150 Harrison Ave,2002
1365,One Palace Road,Submitted with possible data errors,401842000,College/University,1 Palace Road,2002
1554,Hawes Hall,Reported,2200530000,College/University,37 Harvard Way,2002
696,10 Coventry Street,Reported,901381010,College/University,10 Coventry Street,2004
1368,School Of Management and Academic Building,Submitted with possible data errors,401842000,College/University,300R The Fenway,2008
693,International Village,Reported,902704040,College/University,1155-1175 Tremont Street,2009
1498,Weld Hill Research and Admin Building,Reported,2005207000,College/University,1300 Centre Street,2009
6,543-547 Washington Street,Reported,304839010,College/University,543-547 Washington Street,2010
182,31 Hemenway Street,Reported,401763000,College/University,31 Hemenway Street ,2010
1455,100 Bay State Road,Reported,504028000,College/University,100 Bay State Road,2012
1723,660 Huntington Ave-College/University,Reported,1000037000,College/University,660 Huntington Ave,2013
1729,20 Somerset Building,Reported,302782000,College/University,20 Somerset Street,2015
1538,Chao Center,Reported,2200530000,College/University,49 Harvard Way,2016
688,Interdisciplinary Science & Engineering Comples (ISEC),Reported,901340000,College/University,805 Columbus Avenue,2017
1714,255 St. Botolph Street SLPC,Reported,402281000,College/University,255 St. Botolph Street,2017
1488,Klarman Hall,Reported,2200490000,College/University,113 Western Avenue,2018
1974,,Not Compliant,1301339000,COM MULTI-USE,767 781 DUDLEY ST,
1975,,Not Compliant,305265000,COM MULTI-USE,41 55 BEACH ST,
1976,,Not Compliant,401398000,COM MULTI-USE,20 HEMENWAY ST,
1977,,Not Compliant,304950000,COM MULTI-USE,37 31 BEACH ST,
1978,,Not Compliant,304944000,COM MULTI-USE,692 686 WASHINGTON ST,
1979,,Not Compliant,2100471000,COM MULTI-USE,1039 -1045 COMMONWEALTH AV,
1980,,Not Compliant,103705000,COM MULTI-USE,102 140 CONDOR ST,
1981,,Not Compliant,302811000,COM MULTI-USE,140 130 BOWDOIN ST,
1982,,Not Compliant,401401000,COM MULTI-USE,20 22 HAVILAND ST,
1983,,Not Compliant,2204704000,COM MULTI-USE,200 206 LAKE ST,
1984,,Not Compliant,2100675010,COM MULTI-USE,334 362 CAMBRIDGE ST,
1985,,Not Compliant,304797000,COM MULTI-USE,134 131 TREMONT ST,
1986,,Not Compliant,2100465000,COM MULTI-USE,20 14 LINDEN ST,
1987,,Not Compliant,601166050,COM MULTI-USE,49 MELCHER ST,
1988,,Not Compliant,1102534000,COM MULTI-USE,510 AMORY ST,
1989,,Not Compliant,300660020,COMM CONDO,161 - 209 CAMBRIDGE ST,
1990,,Not Compliant,901323200,CONDO MAIN,168 R CAMDEN ST,
1991,,Not Compliant,2205081000,CONDO MAIN,1997 2003 COMMONWEALTH AV,
1992,,Not Compliant,2204563000,CONDO MAIN,112 135 HUNTINGTON RD,
1993,,Not Compliant,2203429010,CONDO MAIN,140 -188 NEWTON ST,
1994,,Not Compliant,2102649000,CONDO MAIN,1691 COMMONWEALTH AV,
1995,,Not Compliant,2102478000,CONDO MAIN,1945 1949 COMMONWEALTH AV,
1996,,Not Compliant,2102467000,CONDO MAIN,1992 1982 COMMONWEALTH AV,
1997,,Not Compliant,2102144000,CONDO MAIN,65 STRATHMORE RD,
1998,,Not Compliant,2101992000,CONDO MAIN,25 39 MT HOOD RD,
1999,,Not Compliant,2101294000,CONDO MAIN,533 CAMBRIDGE ST,
