_id,BERDO ID,Tax Parcel ID,Property Owner Name,Building Address,Geospatial Address,Geospatial Address.1,Building Address City,Building Address Zip  Code,Parcel Address,Parcel Address City,Parcel Address Zip Code,Reported Gross Floor Area (Sq Ft),Reported Enclosed Parking Area (Sq Ft),Largest Property Type,All Property Types and GFAs,Site EUI (Energy Use Intensity kBtu/ft2),Energy Star Score,Total Site Energy Usage (kBtu),Natural Gas Usage (kBtu),Natural Gas Emissions (kgCO2e),Electricity Usage (kWh),Electricity Emissions (kgCO2e),Renewable System Electricity Usage Onsite (kBtu),District Hot Water Usage (kBtu),District Hot Water Emissions (kgCO2e),District Chilled Water Usage (kBtu),District Chilled Water Emissions (kgCO2e),District Steam Usage (kBtu),District Steam Emissions (kgCO2e),Fuel Oil 1 Usage (kBtu),Fuel Oil 1 Emissions (kgCO2e),Fuel Oil 2 Usage (kBtu),Fuel Oil 2 Emissions (kgCO2e),Fuel Oil 4 Usage (kBtu),Fuel Oil 4 Emissions (kgCO2e),Fuel Oil 5 and 6 Usage (kBtu),Fuel Oil 5 and 6 Emissions (kgCO2e),Propane Usage (kBtu),Propane Emissions (kgCO2e),Diesel Usage (kBtu),Diesel Emissions (kgCO2e),Kerosene Usage (kBtu),Kerosene Emissions (kgCO2e),Water Usage Intensity (Gallons/ft2),Compliance Status,Estimated Total GHG Emissions (kgCO2e),First Emissions Compliance Year (Projected),Community Choice Electricity Participation,Renewable Energy Purchased through a Power Purchase Agreement (,Renewable Energy Certificate (REC) Purchase,Backup Generator,Battery Storage,Electric Vehicle (EV) Charging,Corresponding Campus ID,Notes,Cluster_2,Cluster_3
246,100337,801219000.0,,603 albany st,603 albany st,603 albany st,,2118.0,603 albany st,boston,2118,56610.0,,Multifamily Housing,Multifamily Housing (56610.0),48.4,63.0,2740564.396,1430499.7,75973.839,383958.0,78765.144,,,,,,,,,,,,,,,,,,,,,,31.82,in compliance,154738.983,2025.0,I'm not sure,No,No,No,I'm not sure,I'm not sure,,,0.0,2.0
4937,107287,801374010.0,,5 st george st,5 st george st,5 st george st,,2118.0,,,,44999.0,,Multifamily Housing,Multifamily Housing (44999.0),28.3,99.0,1273335.018,370600.0,19682.566,264576.5,54275.223,,,,,,,,,,,,,,,,,,,,,,20.3,in compliance,73957.789,2030.0,I'm not sure,No,No,No,I'm not sure,I'm not sure,,,0.0,2.0
3272,104855,801380010.0,,1 saint george st,1 saint george st,1 saint george st,,2118.0,1  4 st george st,boston,2118,30946.0,,Multifamily Housing,Multifamily Housing (30946.0),54.4,58.0,1683888.812,1042600.0,55372.486,187951.0,38556.268,,,,,,,,,,,,,,,,,,,,,,30.8,in compliance,93928.754,2030.0,No,No,No,No,No,No,,,0.0,2.0
2139,103120,801385002.0,,11 e newton st,11 e newton st,11 e newton st,,2118.0,11 e newton st,boston,2118,193816.0,,Multifamily Housing,Multifamily Housing (193816.0),61.1,85.0,11849387.49,9689622.2,514615.835,632991.0,129851.774,,,,,,,,,,,,,,,,,,,,,,27.34,in compliance,644467.609,2025.0,I'm not sure,No,No,No,I'm not sure,I'm not sure,,,0.0,2.0
2233,103345,801391022.0,granite james court llc,45 e newton st,45 e newton st,45 e newton st,,2118.0,45 e newton st,boston,2118,106050.0,1725.0,Multifamily Housing,"Multifamily Housing (106050.0),Parking (1725.0)",78.7,28.0,8348681.752,3991400.8,211983.296,1277046.0,261973.216,,,,,,,,,,,,,,,,,,,,,,20.3,in compliance,473956.512,2025.0,No,No,No,No,No,No,,,0.0,2.0
179,100233,801401300.0,761 harrison church llc,761 harrison av,761 harrison av,761 harrison av,,2118.0,761 harrison av,boston,2118,54426.0,1725.0,Multifamily Housing,"Multifamily Housing (54426.0),Parking (1725.0)",77.1,17.0,4193924.983,1035936.1,55018.566,925553.6,189868.066,,,,,,,,,,,,,,,,,,,,,,51.44,pending revisions,244886.632,2025.0,No,No,No,No,No,No,,,0.0,2.0
3403,105037,801401510.0,,21 father francis gilday street,21 father francis gilday street,21 father francis gilday street,,2118.0,21 fr francis gilday st,boston,2118,81750.0,,Multifamily Housing,Multifamily Housing (81750.0),48.0,78.0,3923388.424,2825400.0,150056.994,321802.0,66014.462,,,,,,,,,,,,,,,,,,,,,,22.07,in compliance,216071.456,2025.0,No,No,No,No,No,No,,,1.0,2.0
1830,102735,801448000.0,east concord street lps mass lp,1640 washington st,1640 washington st,1640 washington st,,2118.0,1640 washington st,boston,2118,43375.0,,Multifamily Housing,Multifamily Housing (43375.0),43.6,77.0,1892301.381,1247200.0,66238.792,189068.4,38785.492,,,,,,,,,,,,,,,,,,,,,,15.33,in compliance,105024.284,2025.0,No,No,No,No,No,No,,,1.0,1.0
5191,107662,801610010.0,,93-101 northampton st,93,101 northampton st,,2118.0,,,,26768.0,,Multifamily Housing,Multifamily Housing (26768.0),67.5,39.0,1806354.704,1369646.0,72741.899,127992.0,26256.279,,,,,,,,,,,,,,,,,,,,,,61.83,in compliance,98998.178,2025.0,I'm not sure,No,No,No,I'm not sure,I'm not sure,,,0.0,0.0
3392,105026,801615010.0,parmelee court limited,1762-1786 washington st,1762,1786 washington st,,2118.0,1762  1786 washington st,boston,2118,39781.0,0.0,Multifamily Housing,"Multifamily Housing (38342.0),Office (1439.0),Parking (5686.0)",78.4,31.0,3120126.192,2345632.9,124576.563,226991.0,46564.934,,,,,,,,,,,,,,,,,,,,,,73.87,in compliance,171141.497,2025.0,I'm not sure,No,No,No,I'm not sure,I'm not sure,,,0.0,0.0
